,Book,Pages,Size(MB)
9,11 Data Science Books for Beginners LINKS.pdf,12,17.762
92,Amazon Machine Learning Developer Guide TOOL.pdf,146,2.136
113,API Penetration Examples WORKBOOK.pdf,49,4.113
133,A Survey on Contrastive Self Supervised Learning PAPER.pdf,22,5.825
137,Attention Mechanism Transformer BERT GPT Tutorial and Survey PAPER.pdf,15,1.821
141,Awesome machine learning GLOSSARY.pdf,60,2.035
143,AWS lens Machine Learning Lens TOOL.pdf,102,2.939
145,AWS Short Notes TOOL.pdf,86,2.387
154,Azure Storage Services TOOL.pdf,1,0.128
207,Cambridge international as a level mathematics probability statistics 1 COURSEBOOK.pdf,266,29.278
221,Classic Machine Learning With PyTorch WORKBOOK.pdf,18,2.105
257,CS229 Stanford Machine and Deep Learning Lecture Notes TEXTBOOK.pdf,226,3.518
264,Dashboards in Python TOOL.pdf,12,0.421
284,Data Mesh Book TOC.pdf,8,1.39
341,Deep Learning by IanGoodfellow TOC.pdf,66,0.954
348,Deep Learning From Basics to Practice by AndrewGlassner CHAPTER.pdf,104,17.711
360,Deep learning with python mini course SYLLABUS.pdf,26,0.771
375,DevOps Training Content TOC.pdf,13,0.382
443,FourthBrain MLE Jan2022 SYLLABUS.pdf,10,0.249
444,Free ML AI resources by DeepMind LINKS.pdf,6,0.089
445,Frontend Developer ROADMAP TOC.pdf,6,1.977
452,GamesPad Research Paper NEW.pdf,44,26.528
493,Hidden Markov Model CHAPTER.pdf,21,0.655
497,Highlights of Calculus CHAPTER.pdf,52,0.517
520,India NationalStrategy for AI Discussion PAPER.pdf,114,4.401
552,Introduction to Programming in Python TOOL.pdf,63,0.386
556,Introduction to Statistical Learning TOC.pdf,11,0.215
561,JavaScript Handwritten HANDNOTE.pdf,50,7.753
568,KDD 2020 Technical Program CONFERENCE.pdf,28,1.485
570,K Means Clustering Algorithm Intuition HANDNOTE.pdf,19,2.973
601,Lecture Notes in Machine Learning TEXTBOOK.pdf,226,1.246
607,Linear Algebra As an Introduction to Abstract Mathematics TEXTBOOK.pdf,254,1.211
617,LLM Fine tuning (OpenAI) HANDNOTE.pdf,3,3.018
622,Logistic Regression CHAPTER.pdf,30,0.28
624,Machine+Learning+Dev+Ops+Engineer+Nanodegree+Program TOC.pdf,16,0.961
625,"Machine and Deep Learning Lecture Notes C229, Stanford TEXTBOOK.pdf",226,3.518
643,Machine Learning in Big Data PAPER.pdf,10,0.334
652,Machine Learning The Basics Nov 2023 TEXTBOOK.pdf,289,3.772
657,Machine Learning with Python TOC.pdf,8,1.03
665,Manual For Data Science Projects Dutch Analytics MANUAL.pdf,21,1.104
673,Mastering Matplotlib TOOL.pdf,292,9.099
688,Mathematics of Machine Learning TEXTBOOK.pdf,156,5.471
694,Matplotlib for Python Developers TOOL.pdf,308,7.561
695,Maximum Likelihood Estimation CHAPTER.pdf,24,0.253
779,Phynance TOC.pdf,4,0.051
855,Pytorch TOC.pdf,19,0.267
881,Resources for Datascientists TOC.pdf,10,0.226
894,ScrumAlliance CollabAtScale Prioritizing a BACKLOG.pdf,34,2.088
910,Simplifying Machine Learning with PyCaret TOOL.pdf,42,2.923
918,Springer 400+DataScience Ebooks LINKS.pdf,21,0.677
919,Springer LINKS.pdf,9,0.127
932,SQL Zero To Hero HANDNOTE.pdf,41,20.481
1011,The expressive power of pooling in Graph Neural Network PAPER.pdf,14,0.475
1025,Theory of Deep Learning TEXTBOOK.pdf,118,3.622
1053,Time Series using Deep Learning CHAPTER.pdf,6,0.201
1054,TMLC BROC.pdf,10,1.345
1065,Top websites for career LINKS.pdf,6,0.472
1072,Uber Tagged LeetCode Problems LINKS.pdf,8,0.254
1099,What is Azure OpenAI BROC.pdf,1,0.575
1112,XGB Regressor With Hyperparameter Tuning TOOL.pdf,45,0.475
1114,Zero to Advance in DSA 50 Days Challenge TOC.pdf,21,6.4
